17:PROTX1@nn@RNAi@nsubj@influence@dobj@expression@nn@PROTX2	DLX4	Bax
41:PROTX1@prep_between@co-operation@prep_between@PROTX2	RAD51	BRCA2
46:PROTX1@prep_of@role@dobj@assessed@prep_to@PROTX2	leptin	breast cancer
52:PROTX1@nn@mRNA@nsubj@factor@prep_for@PROTX2	NCOR1	breast cancer
54:PROTX1@nn@mRNA@nsubj@factor@prep_for@PROTX2	NCOR1	breast cancer
66:PROTX1@nsubj@observed@prep_in@PROTX2	hr	MCF-10A
69:PROTX1@nn@GLY388@nsubj@isotype@dobj@motility@prep_of@cells@nn@PROTX2	FGFR4	MDA-MB-231
73:PROTX1@nn@expression@nsubj@attenuated@dobj@invasivity@prep_of@line@nn@PROTX2	FGFR4	breast cancer
74:PROTX1@nn@G388@nsubj@suppresses@dobj@motility@prep_of@cells@nn@PROTX2	FGFR4	breast cancer
76:PROTX1@nn@therapy@nsubj@implanted@dobj@PROTX2	tk	breast cancer
89:PROTX1@nn@polymorphism@prep_between@association@prep_between@PROTX2	MTHFR	breast cancer
119:PROTX1@nn@RNA@prep_on@progression@nn@PROTX2	SRA	breast cancer
133:PROTX1@nsubj@activates@dobj@PROTX2	Brn-3b	CDK4
136:PROTX1@nsubj@represses@dobj@promoter@prep_via@site@nn@PROTX2	Brn-3b	Brn-3
154:PROTX1@amod@chance@prep_of@PROTX2	3-fold	HR
177:PROTX1@xsubj@induce@dobj@migration@nn@PROTX2	CCL5	breast cancer
202:PROTX1@nsubj@explain@dobj@region@prep_of@gene@nn@PROTX2	decay	BRCA2
207:PROTX1@nsubj@comprises@dobj@portion@prep_of@PROTX2	OCCR	exon
212:PROTX1@nsubj@suppressed@dobj@formation@prep_in@lines@nn@PROTX2	PEA15	breast
229:PROTX1@nn@family@nsubj@consists@prep_of@)@nn@PROTX2	EGFR	EGFR
237:PROTX1@amod@downregulation@prep_of@)@nn@PROTX2	2-fold	GABRP
252:PROTX1@nn@)@prep_between@association@prep_between@tumors@nn@PROTX2	Lep-R(	Lep-R(
261:PROTX1@nsubj@amplification@prep_in@PROTX2	HER2	breast cancer
290:PROTX1@nn@)@nsubj@form@prep_of@)@nn@PROTX2	breast cancer	breast cancer
297:PROTX1@amod@mutation@prep_in@PROTX2	JAK2	AML
305:PROTX1@nsubj@interacts@prep_with@)@nn@PROTX2	E6-AP	AR
309:PROTX1@nsubj@regulates@ccomp@function@nsubj@PROTX2	RhoA	AR
330:PROTX1@nsubj@interacted@prep_with@PROTX2	AP-2alpha	Sp1
339:PROTX1@nn@MAPK)@nsubj@signalling@prep_in@)@nn@PROTX2	EGFR	breast cancer
356:PROTX1@nn@)@nsubj@form@prep_of@PROTX2	breast cancer	breast cancer
373:PROTX1@nn@cells@nsubj@express@dobj@complements@prep_of@kinases@nn@PROTX2	breast	Tyr
378:PROTX1@nsubj@have@dobj@levels@amod@PROTX2	ErbB3	ErbB3
393:PROTX1@nn@pathway@nsubj@target@prep_for@development@prep_of@PROTX2	HPR	breast cancer
394:PROTX1@prep_of@subunit@nsubj@)@prep_with@PROTX2	PPP2R1B	breast cancer
400:PROTX1@nsubj@interacted@prep_with@PROTX2	CRIPak	Pak1
402:PROTX1@prep_of@inhibition@nsubj@resulted@prep_in@activity@nn@PROTX2	CRIPak	Pak1
403:PROTX1@nsubj@regulator@prep_of@PROTX2	CRIPak	Pak1
408:PROTX1@nsubj@phosphorylates@dobj@PROTX2	Akt1	Bcl10
425:PROTX1@nn@IL-6@prep_between@association@prep_between@levels@nn@PROTX2	TNF-alpha	COX-2
428:PROTX1@nn@analysis@prep_of@specimens@nn@PROTX2	RT-PCR	breast
429:PROTX1@amod@promoter@prep_of@PROTX2	MDM2	breast cancer
483:PROTX1@nn@1.37@appos@)@nn@PROTX2	XPD	CI
491:PROTX1@nn@inhibition@prep_by@PROTX2	Pit-1	VDR
498:PROTX1@appos@)@nsubj@regimen@prep_for@PROTX2	AC	breast cancer
503:PROTX1@nsubj@affects@prep_through@interaction@prep_with@carboxylase@amod@PROTX2	BRCA1	acetyl-CoA
506:PROTX1@nsubj@regulator@prep_of@lipogenesis@prep_through@interaction@prep_with@PROTX2	BRCA1	ACCA
507:PROTX1@nsubj@interacts@prep_with@form@prep_of@)@nn@PROTX2	BRCA1	ACCA
509:PROTX1@nsubj@affects@prep_through@binding@prep_to@PROTX2	BRCA1	P-ACCA
517:PROTX1@nn@metabolism@prep_of@redirection@nsubj@lowering@dobj@PROTX2	TAM	TAM
534:PROTX1@prep_between@Association@prep_in@patients@nn@PROTX2	TP53	breast cancer
555:PROTX1@nn@factors@nsubj@modify@dobj@association@prep_of@genotype@nn@PROTX2	breast cancer	IGF1
557:PROTX1@prep_of@standard@prep_for@women@prep_with@PROTX2	care	breast cancer
559:PROTX1@nsubj@variants@prep_in@predisposition@nn@PROTX2	BARD1	breast cancer
579:PROTX1@nsubj@stimulated@prep_including@)@nn@PROTX2	PPM1D	PR
580:PROTX1@nn@MAPK@nsubj@inhibited@dobj@activity@nn@PROTX2	p38	PR
583:PROTX1@nsubj@promoted@dobj@interaction@prep_between@PROTX2	PPM1D	PR
584:PROTX1@nsubj@stimulated@dobj@activity@nn@PROTX2	PPM1D	PR
585:PROTX1@nsubj@promotes@dobj@growth@nn@PROTX2	PPM1D	breast
592:PROTX1@nn@analysis@nsubj@showed@dobj@up-regulation@prep_of@expression@nn@PROTX2	BI-1	BI-1
604:PROTX1@nsubj@alters@dobj@profile@prep_of@cells@nn@PROTX2	CST6	breast
605:PROTX1@dobj@coined@prep_for@PROTX2	CST6	breast cancer
634:PROTX1@prep_of@silencing@nsubj@suppressed@dobj@expression@nn@PROTX2	Piwil2	Stat3
